name,cuisines,rate,approx_cost(for two people),votes
Just Chill,Beverages,3.4,250.0,54
Velvet Kitchen,"North Indian, Chinese",3.5,600.0,15
Mirch Masala,North Indian,3.4,500.0,6
The Airos,"Cafe, Italian, Pizza",4.1,650.0,130
Hot Rolls & House Of Kebabs,"Rolls, Kebab, Biryani",3.1,200.0,55
Kulkarni's New Uttara Karnataka Food Speciality Stores,South Indian,3.4,250.0,6
Parisar Veg Restaurant,"Chinese, North Indian, South Indian",3.6,400.0,65
Petoo,"North Indian, Fast Food, Beverages",4.0,400.0,23
Andhra Kitchen,"Andhra, Biryani",4.0,400.0,187
1441 Pizzeria,"Pizza, Salad",4.1,800.0,138
Midnight Mania,"Pizza, Italian, Beverages",4.1,700.0,601
Chilld Monk,"Desserts, Ice Cream",3.5,250.0,8
Tangra Indo - Chinese Cuisine,"Chinese, Thai",3.6,400.0,29
Churchill's,"North Indian, Continental",4.1,1100.0,1405
AM WOW,Beverages,3.4,100.0,6
Prems Graama Bhojanam,South Indian,4.3,400.0,325
Fish And Dish,"Mangalorean, Chinese",3.7,350.0,23
Sri Sankara Cafe,South Indian,3.6,100.0,26
Ramji Chaiwale,"Beverages, Fast Food",3.6,250.0,20
Mist n Creams,Ice Cream,3.7,400.0,15
Fudge,"Desserts, Momos",3.2,200.0,12
Mumbai Kulfi,"Desserts, Ice Cream",0.0,200.0,0
Chicken Man,"Roast Chicken, Burger",3.8,400.0,72
Quench The Juice Lounge,"Beverages, Juices, Ice Cream",3.6,150.0,18
Khana Khazana,North Indian,3.7,400.0,22
Momo Junction,"Fast Food, Momos",3.8,100.0,87
Eat Repeat Express,"North Indian, South Indian, Chinese, Biryani, Mexican",3.2,700.0,20
Food Ka Masti,"North Indian, Chinese, South Indian",3.2,400.0,45
Zaitoon Lassi Cafe,"Cafe, Burger, Sandwich, Beverages",3.5,150.0,5
Cookie Man,Bakery,0.0,150.0,0
Wudfyr,"Fast Food, Italian, North Indian, Steak",0.0,700.0,0
Manjushree Upahara,South Indian,3.8,150.0,32
New South Corner,"South Indian, North Indian, Chinese",3.7,300.0,20
Brews N Bites,"Chinese, Fast Food, Cafe, Street Food, Finger Food",2.7,650.0,50
Euki,"Italian, Mexican",4.1,900.0,553
Anand Donne Biriyani,Biryani,3.7,200.0,46
Sea Spice by 7 Star,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",4.0,1200.0,350
Cafe Vivacity,Cafe,3.8,650.0,90
Aramane Donne Biriyani,"Biryani, Fast Food",3.9,300.0,191
Vidya Cafe,"Burger, Fast Food, Desserts, Sandwich",3.2,300.0,4
Woody's,"Chinese, South Indian, North Indian",2.6,650.0,208
Cupcake Bliss,Bakery,3.5,250.0,11
SLV Upachar,"South Indian, Chinese, Street Food",3.1,250.0,14
Goa 0 Km,"Goan, Seafood, North Indian, Chinese, Biryani",3.6,800.0,164
Garma Garam,"North Indian, Chinese, Biryani, Rolls",3.2,350.0,146
Coffee Tindi,"Cafe, South Indian",3.8,200.0,75
Chaitanya Cafe,"South Indian, North Indian, Fast Food",3.9,300.0,92
Kalpavriksha Upahara,"South Indian, North Indian, Chinese",3.9,400.0,126
Caffe Pascucci,"Continental, Italian, Beverages",4.0,1300.0,790
Chocoberry,"Ice Cream, Desserts, Beverages",3.5,400.0,56
SSV Upahar,"South Indian, Chinese",0.0,300.0,0
Sattvam,"North Indian, South Indian",4.3,1200.0,357
The Grillo,"North Indian, Mughlai, Chinese, South Indian, Mangalorean",2.8,700.0,80
Hotel Annapoorna,"South Indian, Chinese, North Indian, Seafood",3.2,400.0,9
Eatery Have U Been,"Cafe, Chinese, Fast Food, Burger, North Indian",3.4,500.0,35
Birinz,"Biryani, Chinese, Mughlai, Fast Food, Kebab",4.1,700.0,295
PK Dhaba,"North Indian, Fast Food, Beverages",0.0,250.0,0
Paratha Merchant,North Indian,3.1,300.0,39
Waah Biryani,"North Indian, Chinese, Biryani",3.8,350.0,117
Mangalore Pearl,"Mangalorean, Seafood, Chinese, Biryani",3.8,650.0,243
Andhra Ruchulu,"Andhra, North Indian",4.2,800.0,1432
Khan's Biryani,"Biryani, North Indian",3.0,300.0,11
Smoke - The Sizzler House,"Continental, Chinese, Thai, Italian, BBQ, Steak",3.8,1100.0,95
Tasty Jigarthanda,"Beverages, Ice Cream",3.4,150.0,10
Sri Banashankari Upahara,"North Indian, South Indian",0.0,150.0,0
Hyderabad Biryaani House,"Biryani, North Indian, Chinese",3.6,550.0,798
Shree Udupi Grand,"South Indian, North Indian, Chinese",3.8,600.0,14
The Blue Wagon - Kitchen,"Cafe, Beverages",4.6,400.0,233
Gyani Da Punjabi Dhaba,"North Indian, Chinese",3.9,500.0,1189
Willys Top Cafe,"Cafe, Continental, Asian",4.0,750.0,310
Rajanna Military Hotel,"Biryani, Fast Food",4.1,400.0,166
RSS Donne Biryani,Biryani,3.3,300.0,59
Ice Stone Creamery,"Desserts, Ice Cream",3.7,400.0,42
New Friends,"North Indian, Continental, Chinese, Steak",3.8,900.0,273
Hotel Aradhana,North Indian,3.7,300.0,51
The Trundle,"Chinese, Thai, Continental, North Indian",3.7,700.0,133
Biryani Junction,"Biryani, North Indian, Chinese",2.3,450.0,298
Atithi Biryani Corner,"Biryani, South Indian",3.3,200.0,4
Freeze It,Ice Cream,3.6,300.0,6
Anjappar,"Chettinad, South Indian",3.1,650.0,97
Hyderabadi Bawarchi,"North Indian, Chinese, Biryani",3.2,500.0,136
Dining Hut,"North Indian, Chinese, South Indian",3.5,400.0,10
Ice Land,"Ice Cream, Desserts",3.6,300.0,34
Vivi's Food Joint,"North Indian, Fast Food, Beverages",3.7,250.0,21
Desi Swaad,North Indian,3.5,400.0,11
Kesariya,Rajasthani,4.2,1200.0,1242
Rara Avis,"Kerala, Seafood, Biryani, Desserts",3.9,400.0,61
Chillz,"Fast Food, Juices, Street Food",3.5,100.0,12
Muddhe Bytes,"South Indian, Biryani",3.6,300.0,30
Funky Punjab,"North Indian, Chinese",3.8,400.0,129
Donne Biriyani Mane,"Biryani, Kebab",3.1,300.0,73
Srikrishna Bhavan,"South Indian, North Indian, Chinese",3.8,300.0,42
Once In Nature,Healthy Food,3.7,300.0,37
Yummerica Fries,"Fast Food, Beverages",3.2,300.0,16
The Chaat Shop,Street Food,3.2,100.0,9
D View Cafe,"Cafe, Italian, Chinese, Beverages",4.0,1000.0,516
Biriyani Bhatti,"Chinese, Hyderabadi, North Indian",3.8,400.0,30
Multi Cakes,"Bakery, Desserts",3.8,200.0,72
Veruthe Oru Thattukada,"Kerala, South Indian",3.6,400.0,29
Mr. Cane,Juices,0.0,100.0,0
Dakshin Cafe,South Indian,3.7,100.0,28
Apsara Ice Cream,"Ice Cream, Desserts",4.3,200.0,251
Shuddh Desi Khana,North Indian,4.1,400.0,600
Daal Roti,"North Indian, Chinese",2.9,250.0,35
Akshaya Donne Biriyani,"Biryani, South Indian, Kebab",3.0,300.0,39
Cakeport,Bakery,0.0,400.0,0
Authentic Aandhra,"Andhra, North Indian",0.0,300.0,0
Food Court,"North Indian, Chinese",0.0,300.0,0
Basmati Delights,"Biryani, Chinese, Mughlai, Fast Food, Kebab",4.0,500.0,869
UBQ By Barbeque Nation,"North Indian, BBQ, Biryani, Kebab",3.4,450.0,9
Dosa Bazaar,"Street Food, South Indian",4.0,200.0,113
Mudpipe Cafe,"Cafe, Continental, North Indian",3.9,800.0,728
Hum Biryani,"Biryani, North Indian",3.4,600.0,17
The Krishna Grand,"North Indian, South Indian, Chinese, Fast Food, Juices",3.9,750.0,891
Dev's Gugababa,"Bengali, North Indian, Chinese",3.5,500.0,177
New Gongura's,"Andhra, Biryani, North Indian, Chinese",3.7,550.0,44
Calvin's,Desserts,0.0,800.0,0
Rayaan's BBQ,"North Indian, BBQ",3.3,350.0,6
Krishna Vijayashree,"Biryani, North Indian, Chinese",3.5,700.0,13
Rajdhani Thali Restaurant,North Indian,3.9,900.0,564
The Crazy Wall,"Fast Food, Beverages, Sandwich",0.0,600.0,0
Karavali Family Restaurant,"Seafood, Biryani, South Indian, North Indian, Chinese",3.5,500.0,90
Food Republic Resto,"North Indian, Chinese",3.3,700.0,43
Cross Road Cafe,"Cafe, Fast Food, Chinese",3.9,300.0,91
Vasantha Grand,"South Indian, North Indian, Chinese",0.0,250.0,0
Skytouch Le Cafe,"Cafe, Italian, Desserts",3.7,700.0,127
Sambram Biriyani Paradise,"Biryani, North Indian, Chinese",3.6,600.0,96
Athithi Grand Restaurant,"Andhra, North Indian, Chinese",3.0,700.0,74
Kakal-Kai Ruchi,"North Indian, South Indian, Chinese",3.7,500.0,218
Bangaliana,Bengali,2.9,600.0,154
Cafe Hops,"Desserts, Bakery",3.7,300.0,24
Delifusion - Hunger Sorted,"Continental, Chinese, North Indian",3.3,500.0,6
Just Bake,"Bakery, Desserts",2.6,400.0,22
Tandoor Garden,"North Indian, Chinese, Kebab",3.6,350.0,71
Knight Ryders,"North Indian, Chinese",3.4,400.0,239
Sreeraj Lassi Bar,"Beverages, Desserts",4.1,150.0,210
Nandhana Palace,"Andhra, Biryani, North Indian, Chinese",4.3,800.0,1079
New Prashanth Hotel,"South Indian, Biryani, Chinese, North Indian",3.6,750.0,142
Arun Icecreams,Ice Cream,3.4,200.0,6
Flow - Terrace Bar & Grill,"Pizza, Continental, North Indian, Chinese",3.8,1000.0,82
Aniram's,"Chinese, North Indian",4.1,500.0,740
Chaatimes,"Street Food, Fast Food",4.2,250.0,9
Lassi Corner,"Beverages, Desserts",0.0,200.0,0
Crafted Plate,"Cafe, Asian, Burger, Continental, Italian, Salad",4.2,600.0,239
Chulha Chauki Da Dhaba,North Indian,4.3,800.0,2420
Ifruit Ice Cream,"Desserts, Ice Cream",3.3,150.0,4
Karavali Grand,"North Indian, Seafood",0.0,600.0,0
Advika Briyani Center,Biryani,3.2,300.0,10
BIB - Breakfast in the Box,"American, Sandwich",3.8,600.0,86
Desi Rasoi,"Biryani, North Indian, Chinese, Rajasthani",3.8,600.0,362
Ambara Gardenia,"Andhra, North Indian, Chinese, Seafood",3.8,800.0,256
New Karawali Lunch Home,Mangalorean,3.5,350.0,20
Cariocake,"Bakery, Desserts",3.9,350.0,56
Chill Magic,"Juices, Beverages",0.0,200.0,0
Ugadi,"North Indian, Chinese, Biryani, Andhra, Mangalorean",2.9,700.0,177
Punjabi Corner,"North Indian, Chinese",3.9,250.0,202
Shanghai Court,"Chinese, Thai",4.2,700.0,421
Kababish Restaurant,"North Indian, Chinese, Arabian",3.6,700.0,15
Anand Sweets and Savouries,"Mithai, Street Food",3.9,400.0,84
Le Centre Jeunesse,Continental,0.0,400.0,0
Chung Wah,"Chinese, Thai, Momos, Vietnamese",4.0,800.0,539
Rithika's Kitchen,"Biryani, South Indian, Andhra",3.8,350.0,106
Mango Greens,"North Indian, Continental, Chinese",3.9,900.0,48
Nellore Ruchulu,"North Indian, South Indian, Chinese",3.7,800.0,32
Nandhini Paradise,North Indian,3.8,600.0,919
Spurthi Foods,Andhra,3.7,300.0,70
Gam's Delicacy,"North Indian, Chinese, Assamese",3.2,800.0,6
Bombay Kulfis,Ice Cream,0.0,200.0,0
Mainland China,"Chinese, Momos",4.3,1700.0,885
Nanna Munna Paratha House,North Indian,4.0,300.0,109
Biriyani Mane,"North Indian, Biryani",3.9,400.0,130
The Cuboidal,"Fast Food, Beverages, Sandwich",3.6,300.0,16
Armaani Caffe,Fast Food,3.5,250.0,12
Shree Guru Juice 'N' Ice,"Fast Food, Chinese, Beverages",3.3,250.0,5
Shetty's Kitchen,Mangalorean,3.7,600.0,109
Food Springs,"South Indian, Chinese",4.0,400.0,233
Mahek Pizza,Pizza,3.9,400.0,38
Halli Mane MUDDE OOTA,South Indian,3.5,300.0,14
Eatsomnia,"North Indian, South Indian, Chinese, Continental",0.0,500.0,0
Dilli ??,North Indian,0.0,500.0,0
Coastal Mama,"Konkan, Mangalorean, North Indian, Seafood",4.1,700.0,468
Gud Dhani,Rajasthani,4.0,500.0,827
Omleterian,"American, Continental",0.0,200.0,0
Suryawanshi,"Maharashtrian, Seafood",3.8,700.0,18
Sree Krishna Kafe,South Indian,3.9,200.0,115
California Burrito,"Mexican, Fast Food",3.3,400.0,9
Costal Kadai,South Indian,0.0,300.0,0
Bangalore Donne Biriyani,"South Indian, Biryani",3.2,300.0,4
Omleterian,"American, Continental",0.0,200.0,0
Zhang's - Chinese Restaurant,"Chinese, Momos",4.1,700.0,589
The Jade Kitchen,"Chinese, Thai",4.0,600.0,118
Kafe Nook,Fast Food,3.6,300.0,35
Smooth Blender,Beverages,3.4,300.0,7
Tomago Roast,"Fast Food, Beverages",3.5,400.0,12
Daily Bread,"Bakery, Fast Food, Italian",3.2,600.0,63
Modern Restaurant,"North Indian, Chinese",3.1,450.0,18
Royal Paris,"North Indian, Arabian, Chinese",3.9,1000.0,68
Tasty Bites,North Indian,3.8,450.0,217
Re Malnad Nati Style Hotel,South Indian,3.6,400.0,16
Joon Restaurant,"Arabian, Chinese, North Indian, Kerala, Juices",3.7,400.0,31
Jaganath Restaurant And Hotel,North Indian,3.2,300.0,8
Beach Hut,"North Indian, Chinese",3.5,650.0,134
Bhaijaan Barbeques,"Mughlai, Arabian, BBQ",3.5,200.0,9
Gujrati Mess,Gujarati,3.6,200.0,18
Sri Lakshmi Curries & Pickles,"Andhra, Biryani",2.9,400.0,60
Curry Leaves,"Andhra, North Indian, Chinese",3.8,600.0,232
Oye Amritsar,North Indian,3.8,600.0,763
Tandoor And Spice,"North Indian, Chinese, Biryani, Hyderabadi",4.0,550.0,181
Zengi Pub & Restaurant,"Finger Food, Continental, Chinese",3.7,900.0,32
Nouvelle Garden,"North Indian, Continental, Italian",3.7,900.0,203
Rajvardhan Foods,"Street Food, Maharashtrian",3.9,300.0,315
Meal Square,"North Indian, Chinese",3.4,600.0,10
Rolls On Wheels,"Fast Food, Rolls, Momos",3.1,300.0,138
Cake Art,Bakery,2.9,400.0,27
China Town 07,"Chinese, Momos",0.0,300.0,0
Appana Restaurant,North Indian,3.5,300.0,12
The Fortuna,"North Indian, Chinese",3.0,250.0,68
The Punjabi Rasoi,North Indian,0.0,800.0,0
Good Bread,"Bakery, Desserts",3.6,300.0,14
Kadala Mane,Seafood,0.0,300.0,0
Crunch Pizzas,"Italian, Pizza",3.3,600.0,7
Royal Chef Naati Oota,"South Indian, Biryani, North Indian",4.0,500.0,194
Baba Ka Dhaba,North Indian,3.7,400.0,195
The Yellow Chilli,"North Indian, Mughlai, Biryani",3.8,1200.0,584
Momo Time,"Momos, American",0.0,600.0,0
Eat Well,"North Indian, Chinese",2.9,400.0,22
Pizza Paradise,Pizza,3.6,500.0,60
Mast Kalandar,North Indian,2.3,450.0,176
Kulfi & More,"Ice Cream, Beverages",3.3,200.0,4
Bake My Day,"Bakery, Desserts",0.0,1000.0,0
Public Cafe,Continental,0.0,700.0,0
Sri Brahmi Kuteera,South Indian,0.0,150.0,0
Brewz Coffee,Cafe,3.0,650.0,61
Juice Junction,"Juices, Fast Food",2.8,150.0,20
Jethro's,"Fast Food, Burger",3.7,450.0,18
Mad Over Biryani,"North Indian, Biryani",3.3,600.0,9
Ningi Family Restaurant,"South Indian, Biryani, Chinese",3.5,400.0,10
Punjabi Raswada,North Indian,3.5,800.0,432
SVR Foods - Night Ka Khana,"North Indian, South Indian",3.5,400.0,15
Targaryen's Kitchen,"North Indian, Bengali, Chinese",3.6,550.0,25
Suji's Kitchen,"South Indian, North Indian",0.0,300.0,0
Durbari Restaurant,"North Indian, Chinese, Mughlai",3.2,600.0,4
Sang Grail,Healthy Food,3.6,300.0,34
Stories - The Kitchen,"Chinese, BBQ, North Indian, Fast Food",0.0,500.0,0
La Mirch,"North Indian, Kashmiri",0.0,400.0,0
Cakeship,"Bakery, Desserts",0.0,200.0,0
Khanapur Express,"North Indian, Rajasthani",0.0,500.0,0
TeaChaTe Express,"Fast Food, Tea",0.0,150.0,0
Hungry Hub,Fast Food,0.0,300.0,0
Sweet Melts,"Desserts, Ice Cream",0.0,400.0,0
Chat Junction,"Street Food, Fast Food",0.0,250.0,0
New Nandan Family Restaurant,"Andhra, Chinese, North Indian, South Indian",0.0,450.0,0
SAATHVIK Cafe Chats,"North Indian, Street Food",0.0,250.0,0
Arzak,"Arabian, Middle Eastern, Rolls, Seafood, BBQ",0.0,300.0,0
Furry Fairy Paw Paradise,Cafe,0.0,500.0,0
Petoo,"North Indian, Fast Food, Street Food",3.7,800.0,48
Keshava Kabab Centre,North Indian,3.2,200.0,7
Sandwich Manne,Fast Food,0.0,250.0,0
Impala Biryani,"Biryani, North Indian",3.2,150.0,4
Mane Biryani,Biryani,0.0,250.0,0
Cake N Cookies,Bakery,0.0,350.0,0
Bright Go Nuts,Drinks Only,0.0,100.0,0
Shavaji Hotel,South Indian,0.0,200.0,0
Hotel Namadhari,"South Indian, Chinese",0.0,150.0,0
Nammuru Nati Hotel,South Indian,0.0,300.0,0
3ice Cubes,"Juices, Sandwich, Street Food",0.0,150.0,0
Tasty Restaurant,"Kerala, South Indian, Chinese",0.0,300.0,0
Hotel Ambara,South Indian,0.0,500.0,0
Biryani Treat,Biryani,0.0,400.0,0
Best Biryani,"North Indian, Biryani, Desserts",0.0,300.0,0
Innate,Beverages,0.0,0.0,0
Tandoori Spot,"North Indian, Chinese",3.5,500.0,13
Night Hunger,North Indian,3.1,350.0,6
Iyengar's Bakery,"Bakery, Fast Food",0.0,600.0,0
My Chef,"North Indian, Chinese",0.0,300.0,0
Pizza Hut,Italian,0.0,400.0,0
Nutri Fit,Healthy Food,0.0,300.0,0
Padosi Apke Apne,"South Indian, Chinese, North Indian",0.0,300.0,0
Grill On Wheels,"North Indian, Chinese, BBQ, Arabian, Fast Food",0.0,400.0,0
Foodmagic,"North Indian, Chinese",0.0,600.0,0
Charcoal Flame,"Awadhi, Biryani",0.0,500.0,0
Chicken Dera,"Mughlai, Kebab, Biryani",3.0,400.0,25
South Indian Kitchen,"Asian, BBQ, South Indian, Chinese",3.3,300.0,6
Cocoa 'n' CrÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¨me,"Bakery, Desserts",3.5,250.0,11
Sri Shyam Sweets & Snacks,"Fast Food, Street Food",0.0,100.0,0
Magic Masala,"North Indian, Chinese, Fast Food",0.0,550.0,0
Flying Cakes,Bakery,0.0,500.0,0
Tandoor Dum,North Indian,0.0,600.0,0
Express Food Point,"South Indian, Kerala",0.0,300.0,0
Desi Jalpaan,"Street Food, North Indian",0.0,150.0,0
Home Treats,"Bakery, Desserts",0.0,250.0,0
Ministry of Burger,Continental,0.0,500.0,0
Soul Curries,South Indian,0.0,150.0,0
Butthi - The Meal Basket,"North Indian, Chinese",0.0,400.0,0
Udupi Park Inn,"South Indian, North Indian, Chinese",0.0,150.0,0
Night Restro,"North Indian, Chinese",3.1,500.0,223
Namma Kudla,"Mangalorean, North Indian, Chinese, Seafood",4.0,400.0,200
WOW Laddus,Mithai,0.0,800.0,0
Bhojon Tripti,"Bengali, North Indian",2.9,300.0,24
Indus Family Restaurant,"North Indian, Biryani",3.8,600.0,117
Miss Momo,"Tibetan, Momos",3.2,250.0,10
Borah's Kitchen,"North Indian, Chinese",3.3,250.0,12
Green Go,"Beverages, Juices",0.0,200.0,0
Heaven 2 Oven,Chinese,0.0,300.0,0
Casa Piccosa,"South American, Continental, Italian",4.1,1100.0,847
Thayee Touch,"North Indian, Chinese, South Indian",3.6,450.0,30
Eten,"Salad, Healthy Food",3.8,600.0,32
Biryani Knights,Biryani,3.6,300.0,21
Kakal Kai Ruchi,"South Indian, North Indian, Chinese",3.9,450.0,30
Donne Biriyani Mane,"Biryani, Kebab",0.0,250.0,0
MyPotli,"North Indian, South Indian",3.7,100.0,18
JP Fish Land,Seafood,3.6,300.0,24
TheRiceBowl.In,"Biryani, North Indian",3.4,200.0,19
Deccan Spice,"North Indian, South Indian, Biryani",3.5,750.0,65
NEW SUNRISE RESTAURANTS,"North Indian, Chinese, Biryani",2.7,500.0,39
The Maori - Aurick Boutique Hotel,"Chinese, North Indian",3.5,1000.0,44
Andhra Grills,"Andhra, North Indian, Biryani",3.0,800.0,55
Appam Centre,Kerala,3.2,200.0,4
Sea Horse,"Seafood, Chinese, South Indian, North Indian",3.4,500.0,9
Nati Biriyani Mane,"Biryani, South Indian",3.2,200.0,4
Delicious Night,"Biryani, Chinese, Fast Food",0.0,200.0,0
Apoorva Halli Mane,South Indian,0.0,350.0,0
Night Panda,"Fast Food, North Indian, Chinese",2.9,500.0,39
North Indian Meals,North Indian,3.2,300.0,5
Spicy Grill,"Chinese, Fast Food",0.0,350.0,0
Happiness Bars,Desserts,3.2,500.0,5
Zyksha,Fast Food,3.4,200.0,9
Chilli N Chicken,Andhra,3.2,400.0,4
Biryani Times,Biryani,3.5,300.0,16
KHANAPUR TIFFINS,"North Indian, Rajasthani",0.0,250.0,0
Hunger Nights,"Chinese, North Indian",0.0,400.0,0
Sambram,"Biryani, North Indian",0.0,800.0,0
Hotel Akshaya Restaurant,"Biryani, Kebab",0.0,400.0,0
Uttara Karanataka Mess,South Indian,3.3,200.0,5
Arabian Nights,"Mughlai, Biryani, Kebab",0.0,200.0,0
Taruni Foods,"Andhra, Biryani",0.0,300.0,0
RBP Greens Garden,"North Indian, Chinese",2.7,700.0,48
Spice Up,Chinese,3.8,600.0,146
Jayanagar Grill House,"Biryani, Kebab",3.5,250.0,35
Dal Roti,North Indian,3.7,150.0,117
Central Jail Restaurant,"Andhra, Seafood, North Indian, Chinese",3.8,700.0,416
Restro Cafe,Cafe,3.8,400.0,30
Crepe Nation,"Fast Food, Desserts",3.8,300.0,12
Davangere Benna Dose Hotel,South Indian,4.1,100.0,90
Thirsty Tiger,"Continental, Finger Food",3.5,1300.0,54
Nite Out,"North Indian, Chinese, Biryani",3.9,500.0,162
Chaat Chatore,Fast Food,0.0,300.0,0
The Paratha Stories,North Indian,0.0,250.0,0
Favourite Restaurant,Fast Food,0.0,300.0,0
Karavali Lunch Home,"South Indian, Mangalorean",3.7,350.0,51
Jalpaan,"North Indian, Continental",4.0,900.0,870
Chef All Nite,"Chinese, North Indian",3.9,300.0,464
Bella,"Mangalorean, Seafood, South Indian",3.9,1000.0,143
Mangalore Lunch Home,"North Indian, South Indian, Mangalorean",3.6,250.0,42
Papacream,"Desserts, Ice Cream",3.7,350.0,17
You N Cane,"Beverages, Juices",0.0,250.0,0
New Rajadhani Spicy,North Indian,3.7,700.0,67
Dazu Momoz,"Tibetan, Momos",0.0,200.0,0
Hungry Buddies,North Indian,3.4,150.0,34
Shake The Shake,Juices,0.0,200.0,0
Kitchen24,"Italian, Continental, Chinese, Thai, American, Arabian",0.0,300.0,0
Smoke Oil Salt,Arabian,0.0,850.0,0
Northern Bites,"North Indian, Chinese",3.2,400.0,51
Vindu Andhra Ruchulu,"Biryani, North Indian, Andhra",3.8,800.0,282
Kataria's Pakwan,North Indian,3.3,400.0,97
The French Loaf,"Bakery, Desserts, Sandwich",2.9,400.0,25
China Tang,Chinese,3.7,600.0,41
Sandwich Shop,"Fast Food, Burger, Sandwich",2.9,400.0,47
Cable Car,"North Indian, Italian",4.3,1000.0,1247
B.M.W Bhookh Mitaane Wala,"North Indian, South Indian, Chinese",3.6,500.0,12
TGI Fridays,"American, Burger, Italian, Steak",3.9,1700.0,1340
MK Dabbawala,North Indian,3.0,400.0,22
Hungry Haters,"Chinese, North Indian",0.0,300.0,0
Vennela Andhra Meals,Andhra,3.0,400.0,23
DeliBox.in,South Indian,3.7,150.0,67
Just Bite@Late Night,"Sandwich, Fast Food, Burger, Rolls",0.0,300.0,0
Punjabi Times,North Indian,4.1,1000.0,1027
Mandi,North Indian,3.8,800.0,561
Swad Restaurant,"Chinese, North Indian",3.7,550.0,115
Kabab Treat,"North Indian, Chinese",2.8,500.0,335
Zhangs Classic,"Italian, Chinese, Japanese",2.6,600.0,170
Mango Tree- The Beer Garden,"North Indian, Chinese, Continental",4.1,1200.0,1322
Kollapuri's,Maharashtrian,3.6,600.0,135
Bawarchi Inn,"North Indian, Biryani, Andhra, Chinese",3.1,600.0,140
Tawa Sagara,"Mangalorean, Seafood",3.8,0.0,122
GFC Biryani,Biryani,0.0,300.0,0
Pallavi North Indian Veg Restaurant,"Biryani, North Indian, Chinese",3.7,450.0,246
Al-Marhaba Restaurant,"Arabian, Chinese, North Indian, Rolls, Momos",0.0,400.0,0
Earth Plate Express,"Italian, Continental",3.9,600.0,33
Totus,Chinese,0.0,300.0,0
Jhasaa,"Seafood, Salad, North Indian, Biryani, Chinese",3.2,500.0,8
Naati Biriyani,"Kebab, Biryani",3.1,300.0,4
The Biryani House,Andhra,0.0,400.0,0
Tongue Twisters,"Bengali, North Indian, Oriya",3.5,350.0,283
Nagarjuna,"Andhra, Biryani",4.2,800.0,1292
Cafe Fattoush,"Cafe, Lebanese",3.8,700.0,24
Narmadha's Hyderabad Biriyani,"Biryani, North Indian, Andhra",3.9,550.0,205
Vaho Kafe & Pressery,"Cafe, Healthy Food, Asian, Italian, North Indian, Biryani, Juices",3.9,500.0,124
Gundu Pulav,Biryani,3.3,400.0,4
Northern Bites,"Chinese, North Indian, Biryani",0.0,350.0,0
Rotti Mane,South Indian,3.6,200.0,13
Athithi,"Andhra, Biryani, Chinese, North Indian",2.8,650.0,80
Night Cafe,"North Indian, Chinese, Fast Food",3.0,350.0,44
Jiyo Natural,"Healthy Food, North Indian",3.6,300.0,14
Fitbakes,"Bakery, Healthy Food",3.6,400.0,13
D2V Cafe,Cafe,3.6,700.0,13
Coastal Inn,"Chinese, North Indian, Seafood",3.4,800.0,66
Andhra Bhojanam,"North Indian, South Indian, Andhra",3.6,600.0,21
Mr Shawarma,Fast Food,0.0,200.0,0
The Little Kitchen,"Chinese, Momos",3.8,300.0,27
Singh Da Dhaba,North Indian,3.3,400.0,5
Amaravati Grand,"Chinese, Andhra, Mangalorean",3.4,550.0,7
Pohawala,Fast Food,0.0,100.0,0
Cafe Choco Craze,"Cafe, Fast Food, Desserts",3.7,400.0,9
Santhrupthi Halli Mane,"North Indian, Chinese, South Indian",0.0,500.0,0
Night Bell,"Fast Food, North Indian",3.1,450.0,53
The Fresh Wok,Asian,3.3,600.0,10
Swad Family Restaurant,"North Indian, Chinese",0.0,650.0,0
Om Nom Thai,"Thai, Momos",0.0,400.0,0
The Sofraah Kebabs & Kurries - Eden Park Restaurants,"North Indian, Afghan",3.8,1350.0,176
Halli Rotti Manne,South Indian,3.4,100.0,9
Moms Flavor,"North Indian, Chinese",0.0,400.0,0
Swad Plaza,"North Indian, Chinese",3.4,400.0,6
Melt - Eden Park,"North Indian, Chinese, Thai, Mughlai, Seafood",4.0,1000.0,347
Midnight Restro,"North Indian, Fast Food",3.4,500.0,55
Gharelu Zaika,North Indian,3.7,250.0,22
Status,"North Indian, Chinese",3.3,600.0,67
Flavour of China,Chinese,3.8,550.0,254
Late Night,"North Indian, Chinese",3.7,500.0,288
Desi Vibes,"North Indian, Chinese",3.7,600.0,46
Spicy World,North Indian,3.4,200.0,7
Odhavji Kitchen,"North Indian, Gujarati",0.0,200.0,0
Perch,Italian,0.0,350.0,0
Healthy Parathawala,North Indian,0.0,200.0,0
Dabba Karkhana,North Indian,3.5,300.0,17
Eshanya,"North Indian, Chinese",4.1,1000.0,1080
Food Times,"North Indian, Arabian",0.0,300.0,0
Sagar Fast Food,"South Indian, Chinese, North Indian",3.7,300.0,66
Heritage Cafe,"Fast Food, Tea",3.6,200.0,11
The Cravery,Cafe,2.6,500.0,18
Desi Aahar,"North Indian, Chinese, Seafood",0.0,400.0,0
The Juicy,"Beverages, Juices",3.5,100.0,13
Siddique Kabab Centre,"Mughlai, Kebab, Chinese",3.1,550.0,68
